FID,OBJECTID,UIDENT,NAW1_EN,NAW1_SP,NAW1_FR,NAW2_EN,NAW2_SP,NAW2_FR,NAW3_EN,NAW3_SP,NAW3_FR,NAW4_EN,NAW4_SP,NAW4_FR,TRANS_BND,MAP_COLOR,INTERNAL,FED_REF,COUNTRY,USA_REG,USA_SUB,USA_ACC,USA_REG_NA,USA_SUB_NA,USA_ACC_NA,CAN_MDA,CAN_SDA,CAN_MDA_EN,CAN_MDA_FR,CAN_SDA_EN,CAN_SDA_FR,MEX_FC_RH,MEX_REG_RH,EDIT_DATE,EDIT,comments,Shape_Leng,Shape_Area
762,763,81616,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Puget Sound,Puget Sound,Puget Sound,1,50,-999,171100,USA,17,1711,171100,Pacific Northwest Region,Puget Sound,Puget Sound, , , , , , ,-999, ,20100401,EDT,Fixed ugly NA wshed,18761.095617200000561,20565003.683499999344349
763,764,81716,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Puget Sound,Puget Sound,Puget Sound,1,50,-999,171100,USA,17,1711,171100,Pacific Northwest Region,Puget Sound,Puget Sound, , , , , , ,-999, ,20100401,EDT,Fixed ugly NA wshed,46229.646390900001279,91829651.795699998736382
764,765,81816,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Puget Sound,Puget Sound,Puget Sound,1,50,-999,171100,USA,17,1711,171100,Pacific Northwest Region,Puget Sound,Puget Sound, , , , , , ,-999, ,20100401,EDT,Fixed ugly NA wshed,16302.309606000000713,17900471.000999998301268
765,766,81916,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Puget Sound,Puget Sound,Puget Sound,1,50,-999,171100,USA,17,1711,171100,Pacific Northwest Region,Puget Sound,Puget Sound, , , , , , ,-999, ,20100401,EDT,Fixed ugly NA wshed,19892.148462299999665,26698047.095499999821186
766,767,82016,Pacific Ocean,Océano Pacífico,Océan Pacifique,Columbia River,Río Columbia,Fleuve Columbia, , , ,Upper Columbia,Upper Columbia,Cours supérieur du Columbia,1,53,-999,170200,USA,17,1702,170200,Pacific Northwest Region,Upper Columbia,Upper Columbia, , , , , , ,-999, ,20081020,NEW, ,1323032.290329999988899,57489778594.199996948242188
767,768,82116,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Puget Sound,Puget Sound,Puget Sound,1,50,-999,171100,USA,17,1711,171100,Pacific Northwest Region,Puget Sound,Puget Sound, , , , , , ,-999, ,20100401,EDT,Fixed ugly NA wshed,60297.094617800001288,157508434.442000001668930
768,769,82216,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Puget Sound,Puget Sound,Puget Sound,1,50,-999,171100,USA,17,1711,171100,Pacific Northwest Region,Puget Sound,Puget Sound, , , , , , ,-999, ,20100401,EDT,Fixed ugly NA wshed,31083.998182700001053,25234936.497099999338388
769,770,82316,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Puget Sound,Puget Sound,Puget Sound,1,50,-999,171100,USA,17,1711,171100,Pacific Northwest Region,Puget Sound,Puget Sound, , , , , , ,-999, ,20100401,EDT,Fixed ugly NA wshed,75445.475381399999605,172705665.016999989748001
770,771,82416,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Washington Coastal,Washington Coastal,Washington Coastal,-999,50,-999,171001,USA,17,1710,171001,Pacific Northwest Region,Oregon-Washington Coastal,Washington Coastal, , , , , , ,-999, ,20081020,NEW, ,951819.579585000057705,15358441799.899999618530273
771,772,82516,Pacific Ocean,Océano Pacífico,Océan Pacifique,Fraser River,Río Fraser,Fleuve Fraser, , , ,Lower Fraser,Lower Fraser,Cours inférieur du Fraser,1,52,-999,171100,USA,17,1711,171100,Pacific Northwest Region,Puget Sound,Puget Sound, , , , , , ,-999, ,20100401,EDT,only part of 171100,143089.084735999989789,455489844.480000019073486
772,773,82616,Atlantic Ocean,Océano Atlántico,Océan Atlantique,Atlantic Ocean Seaboard,Litoral Océano Atlántico,Littoral Océan Atlantique, , , ,St. John,St. John,Saint-Jean,1,20,-999,010100,USA,1,101,10100,New England Region,St. John,St. John, , , , , , ,-999, ,20081020,NEW, ,816038.974925999995321,18829599696.299999237060547
